Subject,Predicate,Object
anthropogenic terrestrial biome,in_subset,nmdc soil broad scale value set
subtropical broadleaf forest,subclassof,subtropical forest
barium molecular entity,subclassof,alkaline earth molecular entity
phosphorus molecular entity,subclassof,pnictogen molecular entity
misrouted,subclassof,position
trench,subclassof,depressed landform
environmental monitoring,subclassof,planned process
vegetable food product,subclassof,plant food product
rest energy,subclassof,potential energy
food material by process,subclassof,food material
cleanroom,subclassof,building part
kerosene oil,subclassof,fuel oil
increased viscosity,subclassof,viscous
amount of carbon atom in water,subclassof,amount of carbon atom in environmental material
seasonal melting process,subclassof,melting
plastic,subclassof,environmental material
mediterranean shrubland biome,in_subset,wwfbiome
organ system subdivision,subclassof,multicellular anatomical structure
cardiac septum,subclassof,mesoderm-derived structure
metal contaminated soil,subclassof,contaminated soil
obsolete marine pelagic feature,in_subset,envopolar
superelliptic,subclassof,2-d shape
phthalocyanines,subclassof,cyclic tetrapyrrole
acrididae,subclassof,acridoidea
molybdenum atom,subclassof,chromium group element atom
multi-component wheat food product,subclassof,multi-component plant food product
feedlot,subclassof,agricultural ecosystem
chemical role,subclassof,role
emulsifier,subclassof,chemical role
occupational environment,subclassof,anthropogenic environment
dihydrogen,subclassof,gas molecular entity
increased concentration,subclassof,increased amount
tela choroidea,subclassof,organ component layer
montane desert biome,subclassof,desert biome
vadose zone,in_subset,nmdc soil local scale value set
invertebrate animal food product,subclassof,animal food product
permafrost,subclassof,environmental material
humid subtropical,subclassof,subtropical
pnictogen oxoacid,subclassof,pnictogen molecular entity
temperate woodland biome,in_subset,nmdc plantassociated broad scale value set
pelagic isopycnal surface,subclassof,aquatic layer
rhombencephalon neural crest,subclassof,neural crest
produces,inverseof,produced by
fluvisol,in_subset,nmdc soil environmental medium value set
foehn wind,subclassof,downslope katabatic wind
neural rod,subclassof,future central nervous system
optic neural crest,subclassof,mesenchyme derived from head neural crest
ecosystem-wide aerobic respiration,subclassof,hydrological process
1st arch mesenchyme from head mesenchyme,subclassof,pharyngeal arch mesenchyme from head mesenchyme
concentration of yttrium in lake water,subclassof,concentration of
mesa,subclassof,flattened elevation
mustard seed food product,subclassof,plant seed food product
kipuka,subclassof,surface landform
biogas,subclassof,hydrocarbon gas
subtropical grassland,subclassof,subtropical ecosystem
concentration of calcium carbonate in sea water,subclassof,concentration of
lake shore,subclassof,shore
dung building floor,subclassof,building floor
antiinfective agent,subclassof,drug
aromatic annulene,subclassof,annulene
oxbow lake,subclassof,lake
plant fat or oil refined food product,subclassof,plant lipid food product
soot,subclassof,particulate environmental material
star,subclassof,mass of environmental material
eukaryota,subclassof,cellular organisms
garden,subclassof,anthropogenic geographic feature
oceanic pelagic zone biome,in_subset,nmdc water broad scale value set
aerosol formation process,subclassof,material transformation process
atmosphere and water column exposed melt pond,in_subset,envopolar
ethiopian xeric grasslands and shrublands ecoregion,part of,afrotropical ecoregion
small river biome,in_subset,wwfbiome
environmental system process quality,subclassof,process quality
proton,subclassof,hydron
phosphoric ester,subclassof,phosphoric acid derivative
seawater,subclassof,astronomical body part
mangrove swamp,in_subset,nmdc soil local scale value set
alpine tundra ecosystem,subclassof,alpine ecosystem
cranial neural crest,subclassof,ectoderm-derived structure
root epidermis,has_alternative_id,po:0006037
beach ridge,subclassof,ridge
stream pool,subclassof,water body
disturbed ecosystem,in_subset,envopolar
mesotrophic lake,subclassof,lake
vomit material,subclassof,bodily fluid material
nye channel,subclassof,tunnel valley
negatively regulates,inverseof,negatively regulated by
slightly saline water,in_subset,nmdc water environmental medium value set
vegetable garden soil,subclassof,garden soil
anthozoa,subclassof,cnidaria
phospho sugar,subclassof,carbohydrate phosphate
equipment leg,subclassof,manufactured product
environmental system determined by an organism,subclassof,environmental system
epilithon,in_subset,nmdc water environmental medium value set
hydrothermal fluid,in_subset,nmdc water environmental medium value set
rain,subclassof,object aggregate
thickness,subclassof,1-d extent
sausage (smoked),subclassof,smoked meat food product
ditch water,subclassof,fresh water
eyeball of camera-type eye,subclassof,ectoderm-derived structure
supraglacial lake,in_subset,envopolar
ground moraine,subclassof,moraine
ocean water,in_subset,nmdc water environmental medium value set
cirrus uncinus cloud,subclassof,cirrus cloud
orange juice (liquid),subclassof,"food (liquid, low viscosity)"
haemolymphatic fluid,subclassof,bodily fluid
tetraterpenoid,subclassof,terpenoid
concentration of nitrogen atom in water,subclassof,concentration of nitrogen atom in environmental material
non-saline planetary subsurface environment,in_subset,envoomics
nitrate-reducing sediment,subclassof,anaerobic sediment
ecosystem fragment,subclassof,ecosystem
pyrazolopyrimidine,subclassof,organonitrogen heterocyclic compound
textile,subclassof,manufactured product
particle,subclassof,mass of solid material
protuberance,subclassof,zone of organ
gaseous part of an atmosphere,subclassof,gaseous astronomical body part
river water,subclassof,stream water
kiosk,subclassof,commercial building
freshwater spring,subclassof,liquid astronomical body part
potato food product,subclassof,solanaceous root food product
organic cation,subclassof,cation
area of developed open space,in_subset,nmdc plantassociated local scale value set
pelagic isohaline surface,subclassof,isohaline surface
freshwater stream,subclassof,stream
non-porous,subclassof,porosity
aligned with,subclassof,alignment
concentration of molybdenum in water ice,subclassof,concentration of
apple vinegar food product,subclassof,vinegar food product
dissolved nitrogen atom in soil,subclassof,dissolved nitrogen atom in environmental material
ozone layer,subclassof,atmospheric layer
surface of an astronomical body,subclassof,astronomical body part
heterodetic cyclic peptide,subclassof,cyclic peptide
increased variability,subclassof,variant
inorganic calcium salt,subclassof,inorganic salt
sea surface layer,subclassof,marine layer
beta-carotene,subclassof,cyclic carotene
acidic environment,subclassof,environmental system determined by a quality
plateau,in_subset,nmdc soil local scale value set
volcano,in_subset,nmdc soil local scale value set
fluorescence,subclassof,luminous flux
river,in_subset,nmdc water local scale value set
mediterranean woodland biome,in_subset,nmdc plantassociated broad scale value set
permeability,subclassof,structure
geological carbon sequestration,in_subset,envonceas
x-ray radiation,in_subset,environmental_hazards
increased elevation,subclassof,increased position
haplorrhini,subclassof,primates
1st arch mandibular mesenchyme from head mesenchyme,subclassof,1st arch mesenchyme from head mesenchyme
adsorption,subclassof,material accumulation process
hydroxybenzoate,subclassof,benzoates
whole plant,in_subset,traitnet
benzene,subclassof,volatile organic compound
organic oxide,subclassof,oxide
1st arch mandibular mesenchyme from neural crest,subclassof,1st arch mesenchyme from neural crest
seasonal marine thermocline,in_subset,envopolar
adfreezing,in_subset,envonceas
telencephalic ventricle,subclassof,structure with developmental contribution from neural crest
sea foam,subclassof,foamy environmental material
acidic soil,subclassof,soil
leptosol,in_subset,nmdc soil environmental medium value set
mediterranean sea biome,subclassof,mediterranean biome
neritic mesopelagic zone biome,subclassof,neritic pelagic zone biome
soil,subclassof,environmental material
gut wall,subclassof,anatomical wall
petroleum enriched sediment,subclassof,organically enriched sediment
atmospheric wind,in_subset,envopolar
allotment garden soil,in_subset,nmdc soil environmental medium value set
anatomical entity environment,subclassof,environmental system
chromodynamic energy,subclassof,potential energy
cold seep,in_subset,nmdc water local scale value set
microwave radiation,subclassof,electromagnetic radiation
electromagnetic radiation,subclassof,radiation
cranial blood vasculature,subclassof,blood vasculature
vasculature of central nervous system plus retina,subclassof,vasculature
fermented agave beverage,subclassof,agave food product
axilla skin,subclassof,skin of clavicle region
temperate savanna biome,in_subset,nmdc soil broad scale value set
has potential to develop into,subpropertyof,has developmental potential involving
cave,in_subset,nmdc soil local scale value set
oblong,subclassof,2-d shape
organism substance,subclassof,material anatomical entity
devils tongue plant,subclassof,starch-producing plant
macroburst,subclassof,downburst
soil organic matter,in_subset,envonceas
smooth,subclassof,texture
wet snow avalanche,subclassof,water flow process
liquid planetary surface,subclassof,liquid surface of an astronomical body
hydrological evaporation,subclassof,evaporation
walk-in clinic,subclassof,medical clinic
animal carcass fall,subclassof,carcass
hydrogel,subclassof,gel
monoatomic monoanion,subclassof,monoanion
2-d shape,subclassof,shape
increased variability,subclassof,increased quality
volatile organic compound,subclassof,organic molecule
soil environment,subclassof,astronomical body part
claystone,subclassof,clastic sedimentary rock
environment determined by a biofilm on a saline surface,subclassof,environmental system determined by a material
lanthanum atom,subclassof,scandium group element atom
orangery,subclassof,building
salt contaminated soil,subclassof,contaminated soil
fermented fruit food product,subclassof,food (fermented)
glacial ice gain,in_subset,envopolar
tropical coniferous forest biome,subclassof,coniferous forest biome
mediterranean savanna,subclassof,subtropical savanna
urea,subclassof,one-carbon compound
environmental pollution,subclassof,environmental system process
oil field production water,subclassof,liquid water
season generating process,subclassof,environmental system process
marine black smoker biome,subclassof,marine hydrothermal vent biome
friable-frozen soil,subclassof,frozen soil
musculature of body,subclassof,organ system subdivision
ice calf,subclassof,ice mass
automated teller machine,subclassof,manufactured product
area of evergreen forest,subclassof,vegetated area
leachate,subclassof,liquid water
pyridine nucleotide,subclassof,nucleotide
musculoskeletal system,disjointwith,integumental system
subpolar environment,subclassof,environmental system
"food (liquid, low viscosity)",subclassof,food (liquid)
uvea,subclassof,ectoderm-derived structure
appendicular skeletal system,subclassof,subdivision of skeletal system
vetch seed (dried),subclassof,vetch seed
freshwater ecosystem,subclassof,aquatic ecosystem
riverine flood,subclassof,flood
fermented millet food product,subclassof,fermented cereal beverage
3-d shape,subclassof,shape
pecorino cheese,subclassof,sheep milk cheese food product
area of ice cover,in_subset,envocryo
depth of water ice,subclassof,depth
cooling of a fluid,subclassof,material cooling process
rockslide lake,subclassof,landslide lake
concentration of dioxygen in sea water,subclassof,concentration of dioxygen in liquid water
snow cover,in_subset,envocryo
face skin environment,in_subset,envomeo
food (liquid),subclassof,food material by characteristic
buttermilk food product,subclassof,bovine dairy food product
fudge (us cfr),subclassof,soft candy (us cfr)
lead molecular entity,subclassof,carbon group molecular entity
dermis,subclassof,structure with developmental contribution from neural crest
carbon oxide,subclassof,organic oxide
freshwater marsh,subclassof,marsh
cypress strand swamp,subclassof,strand swamp
natural-based polymer,subclassof,environmental material
food dressing product,subclassof,food product component
oxo steroid,subclassof,ketone
goat milk cheese (unpasteurized),subclassof,goat milk cheese food product
lateral moraine,subclassof,moraine
tear material,subclassof,bodily fluid material
photophore,subclassof,organ
spacecraft,subclassof,vehicle
sand pit quarry,subclassof,quarry
metabolic process,subclassof,cellular process
rainy day,subclassof,day
kaaba,subclassof,building
leucine,subclassof,alpha-amino acid
plinthosol,subclassof,soil
ocean,subclassof,saline water body
track,subclassof,road
subtropical dry broadleaf forest,subclassof,subtropical broadleaf forest
ice rise,in_subset,envopolar
muscle tissue,subclassof,tissue
connected to,subpropertyof,mereotopologically related to
xeric basin biome,in_subset,nmdc plantassociated broad scale value set
increased process quality,subclassof,increased quality
refined asphalt,subclassof,liquid environmental material
chromium group element atom,subclassof,d-block element atom
plant based bakery food product,subclassof,bakery food product
organic hydroxy compound,subclassof,hydroxides
obsolete canopy,consider,envo_01001239
livestock house,subclassof,animal house
helium molecular entity,subclassof,noble gas molecular entity
wet pitfall trap,in_subset,envocesab
x-ray radiation,subclassof,ionizing radiation
solfatara,subclassof,fumarole
hailstorm,subclassof,icestorm
large river delta biome,in_subset,nmdc water broad scale value set
interglacial,subclassof,one-dimensional temporal region
sulfide,subclassof,sulfur molecular entity
framed bed,subclassof,piece of furniture
insect food product,subclassof,invertebrate animal food product
environmental role,in_subset,envopolar
copper atom,subclassof,metal allergen
rainforest biome,subclassof,forest biome
erosional cave,subclassof,cave
osmolarity,subclassof,concentration of
chromate contaminated soil,subclassof,metal contaminated soil
skeletal system,disjointwith,excretory system
vehicle,subclassof,manufactured product
caldera lake,subclassof,volcanic crater lake
plant root food product,subclassof,plant food product
potential energy,subclassof,energy
temperate rainforest biome,subclassof,rainforest biome
marine sub-littoral zone,subclassof,marine environmental zone
oceanic zone,in_subset,envomarine
obsolete extreme habitat,in_subset,envo-lite-gsc
plume,subclassof,fluid astronomical body part
organic hydroxy compound,subclassof,organic molecular entity
broadleaf forest,subclassof,forest
water-based cloud droplet,subclassof,cloud droplet
marine tidal flow zone,in_subset,envomarine
geological subsidence,subclassof,material transport process
choroid plexus of lateral ventricle,subclassof,choroid plexus
subterranean lake,in_subset,nmdc water environmental medium value set
barrier island,subclassof,depositional island
"sausage (cooked, smoked)",subclassof,sausage (smoked)
mineral material,subclassof,solid environmental material
beverage (non-milk) (eurofir),subclassof,eurofir food classification
temperate grassland biome,in_subset,nmdc soil broad scale value set
aquifer,subclassof,solid layer
pleural effusion material,subclassof,anatomical entity
intestinal epithelium,subclassof,simple columnar epithelium
fermented apple beverage,subclassof,fermented pomaceous fruit beverage
uranium molecular entity,subclassof,actinoid molecular entity
manganese atom,subclassof,manganese group element atom
rainforest biome,subclassof,rainforest
concentrated,subclassof,concentration of
ectodermal placode,subclassof,primordium
moor,subclassof,freshwater wetland ecosystem
blood vessel smooth muscle,subclassof,smooth muscle tissue
cumulonimbus cloud,has_alternative_id,cb
container of an intermittent water body,subclassof,surface landform
system process,subclassof,multicellular organismal process
elemental nitrogen,subclassof,elemental pnictogen
glass,subclassof,solid environmental material
cut,subclassof,anthropogenic geographic feature
hydrosphere,subclassof,liquid astronomical body part
radiating,subclassof,shape
tetraterpene,subclassof,terpene
decreased amount,subclassof,decreased quality
entire extraembryonic component,subclassof,multi-tissue structure
deionisation,subclassof,material transformation process
ligand,subclassof,chemical role
develops from,inverseof,develops into
achondrite,subclassof,stony meteorite
developing mesenchymal condensation,subclassof,dense mesenchyme tissue
marine environmental zone,subclassof,astronomical body part
sea water environment,subclassof,saline water environment
nmdc soil local scale value set,subpropertyof,nmdc soil value sets
discontinuous,subclassof,occurrence
hydrogenous sediment,subclassof,sediment
brine,in_subset,envopolar
bucket conveyor,subclassof,conveyor system
air pollution,subclassof,environmental pollution
head mesenchyme,subclassof,mesenchyme
part of a landmass,subclassof,solid astronomical body part
concentration of,subclassof,molecular quality
tarn,subclassof,lake
protruding out of,subclassof,protruding
anabatic wind,subclassof,slope flow
estuarine tidal riverine open water pycnocline,in_subset,envomarine
actinoid molecular entity,subclassof,f-block molecular entity
methane metabolic process,subclassof,alkane metabolic process
hospital,subclassof,building
chocolate food product,subclassof,chocolate or cocoa
"propane-1,2-diols",subclassof,propanediol
zebra milk beverage,subclassof,equine milk beverage
archosauria,subclassof,archelosauria
hypoxic water,subclassof,liquid water
amino-acid cation,subclassof,polyatomic cation
industrial waste material,subclassof,waste material
tropical savanna biome,in_subset,nmdc plantassociated broad scale value set
subtropical savanna biome,in_subset,wwfbiome
house,subclassof,building
inorganic chloride,subclassof,inorganic salt
irregular density,subclassof,mass density
mollusc food product,subclassof,shellfish food product
oxonium,subclassof,oxygen hydride
hydrogen atom,subclassof,nonmetal atom
excretion,subclassof,system process
gastrointestinal system smooth muscle,subclassof,smooth muscle tissue
composition of water,subclassof,composition
tidal mangrove shrubland,in_subset,nmdc plantassociated broad scale value set
eye epithelium,subclassof,pigment epithelium of eye
polar desert ecosystem,subclassof,polar ecosystem
stratus cloud,has_alternative_id,st
causal relation between processes,subpropertyof,causally related to
amide,subclassof,nitrogen molecular entity
snow layer,in_subset,envocryo
input of,subpropertyof,participates in
ionizing stellar radiation,subclassof,ionizing radiation
pond water,subclassof,astronomical body part
skeletal system,disjointwith,immune system
concentration of carotene in liquid water,subclassof,concentration of
mayonnaise food product,subclassof,creamy salad dressing
sea water environment,in_subset,envopolar
unburnt brick,subclassof,brick
glossata,subclassof,lepidoptera
honey blend table syrup,subclassof,plant sweetener
high tide zone,subclassof,marine environmental zone
dry lake,subclassof,depressed landform
meteorite lake,subclassof,impact crater lake
tropical sclerophyllous dry forest biome,subclassof,sclerophyllous forest biome
blended biomass derived from sessile communities colonising an autonomous reef monitoring structure,subclassof,organic material
vetch seed,subclassof,legume
tissue paper,subclassof,paper product
raised beach,subclassof,beach
public prison,subclassof,prison
fumarole-derived ice tower,subclassof,elevated landform
pate,subclassof,processed meat food product
pathogen-suppressive soil,subclassof,soil
moderately saline water,subclassof,saline water
processing line,subclassof,system
agricultural landscape diversification process,subclassof,active agri-ecosystem management process
conservation-focused active ecosystem management process,subclassof,active ecosystem management process
farm soil,subclassof,soil
has potential to developmentally contribute to,subpropertyof,has developmental potential involving
ectoderm-derived structure,subclassof,anatomical structure
recreational cruise ship,subclassof,boat
subtropical woodland biome,subclassof,subtropical woodland ecosystem
temperature of soil,subclassof,temperature of environmental material
lake water,in_subset,nmdc water environmental medium value set
lake layer,subclassof,aquatic layer
chalybeate spring,subclassof,mineral spring
currency note,subclassof,paper product
forebrain neural plate,subclassof,neural plate
elemental copper,subclassof,copper molecular entity
particulate organic carbon,in_subset,envonceas
marine biome,in_subset,nmdc plantassociated broad scale value set
desalinated water,subclassof,liquid water
arrugado,subclassof,surface landform
crater,in_subset,nmdc soil local scale value set
stone exterior wall,subclassof,exterior wall
heavy snowfall,in_subset,envopolar
acid mine drainage,subclassof,mine drainage
amino monosaccharide,subclassof,amino sugar
dioxanes,subclassof,organic heteromonocyclic compound
results in formation of anatomical entity,example of usage,an annotation of gene x to anatomical structure formation with results_in_formation_of uberon:0000007 (pituitary gland) means that at the beginning of the process a pituitary gland does not exist and at the end of the process a pituitary gland exists.
facial lymphatic vessel,subclassof,lymphatic vessel
pantothenate,subclassof,monocarboxylic acid anion
oil field production water,in_subset,nmdc water environmental medium value set
wildlife management area,subclassof,area of protected biodiversity
jaw region,subclassof,structure with developmental contribution from neural crest
rockfall,subclassof,landslide
gravitational motion,subclassof,environmental system process
planetary erosion,in_subset,envopolar
gorgonzola cheese food product,subclassof,blue cheese food product
synthetic polymer,subclassof,polymer
flow rate,subclassof,movement quality
fermented dairy food product,subclassof,dairy food product
storm surge process,subclassof,coastal flooding
coke,subclassof,coal
aquatic layer,in_subset,envopolar
temperate marine upwelling biome,in_subset,nmdc water broad scale value set
amictic lake,subclassof,lake
nervous system,disjointwith,musculoskeletal system
tectonic movement,subclassof,material transport process
eye muscle,subclassof,muscle organ
temperate mixed forest biome,subclassof,mixed forest biome
surgical intensive care unit facility,subclassof,intensive care unit facility
marine thermocline,in_subset,envopolar
water ice sublimation process,subclassof,sublimation process
montane grassland,subclassof,montane ecosystem
alkaline water,in_subset,nmdc water environmental medium value set
nitrobenzene,subclassof,nitroarene
alluvial paddy field soil,in_subset,nmdc soil environmental medium value set
p-block molecular entity,subclassof,main group molecular entity
calving of ice into water,subclassof,ice calving process
humidity,subclassof,quality of a gas
acoustic radiation,subclassof,radiation
igneous rock,subclassof,rock
copper group element atom,subclassof,d-block element atom
irradiation,subclassof,energy transfer process
agrochemical,subclassof,application
vomit,subclassof,regurgitated substance
sake brewery,subclassof,brewery
oceanic bathypelagic zone biome,subclassof,oceanic pelagic zone biome
vitreous body,subclassof,head connective tissue
subpolar coniferous forest biome,subclassof,coniferous forest biome
geographic feature,in_subset,envopolar
cave floor,subclassof,solid astronomical body part
secondary aerosol formation process,subclassof,environmental system process
zinc group element atom,subclassof,d-block element atom
cellular organisms,subclassof,root
silicate mineral,subclassof,mineral
vertebrata <vertebrates>,subclassof,craniata <chordates>
bacteria,subclassof,cellular organisms
bone collagen fibril,subclassof,collection of collagen fibrils
lithification,subclassof,material transformation process
cow milk cheese,subclassof,cow milk based food product
powdery snow,subclassof,snow
hypodermis,subclassof,integumentary system layer
montane conifer woodland,subclassof,montane ecosystem
mycotoxin,subclassof,fungal metabolite
plant seed or nut food product,subclassof,plant food product
submerged bed,subclassof,solid surface layer
hillside,subclassof,slope
solubility of nitrogen atom in water,subclassof,solubility of nitrogen atom in environmental material
xylene,subclassof,methylbenzene
falling snow,subclassof,object aggregate
decayed,subclassof,viability
organic ion,subclassof,organic molecular entity
riverine flooding,subclassof,flooding
methanogenesis,in_subset,envopolar
underground lake,subclassof,lake
somali montane xeric woodland ecoregion,part of,afrotropical ecoregion
aqueous inkjet printer ink,subclassof,manufactured product
natural harbor,in_subset,envopolar
temperate mountain,subclassof,mountain
simple cuboidal epithelium,subclassof,unilaminar epithelium
kettle,subclassof,surface landform
mixed forest biome,in_subset,nmdc plantassociated broad scale value set
patient room,subclassof,room
ec 1.* (oxidoreductase) inhibitor,subclassof,enzyme inhibitor
dry pea food product,subclassof,bean food product
oxacycle,subclassof,organic heterocyclic compound
presumptive neural plate,subclassof,future central nervous system
arsenic atom,subclassof,metalloid atom
metallotetrapyrrole,subclassof,cyclic tetrapyrrole
informal settlement,subclassof,human settlement
rhombencephalon neural crest,subclassof,cranial neural crest
plastic-frozen soil,subclassof,frozen soil
turlough,subclassof,container of an intermittent lake
exosphere,subclassof,atmospheric layer
aquifer,in_subset,envopolar
subtropical ecosystem,subclassof,ecosystem
boundary layer,subclassof,fluid interface layer
cryoconite hole,subclassof,thaw hole
basal to,subclassof,position
glaciation of water droplets in a cloud,subclassof,formation of a solid aerosol from liquid material in an atmosphere
acrogymnospermae,subclassof,spermatophyta
confectionery food product,definition source,confectionery
refrigerator,subclassof,manufactured product
pinyon juniper woodland,subclassof,conifer woodland
microfracture,subclassof,geological fracture
gasoline,subclassof,petroleum
snow and ice accumulation process,subclassof,snow accumulation process
lava field,subclassof,field
ice cap dome,subclassof,surface landform
lithification,subclassof,biological_process
concentration of alloxanthine in liquid water,subclassof,concentration of
orange juice,subclassof,orange fruit beverage
efficiency,subclassof,physical quality
anatomical collection,subclassof,material anatomical entity
sebum,subclassof,secretion of exocrine gland
methanide,subclassof,hydrocarbyl anion
chloropicrin,subclassof,c-nitro compound
"meat sausage (dried, fermented)",subclassof,meat sausage
mesoscale marine eddy,subclassof,marine current
outcrop,in_subset,nmdc plantassociated local scale value set
meteor impact crater,subclassof,impact crater
environment associated with an animal part or small animal,in_subset,envoomics
iron molecular entity,subclassof,iron group molecular entity
foramen of skull,subclassof,bone foramen
appendicular skeleton,subclassof,subdivision of skeleton
yogurt food product,subclassof,fermented dairy food product
snow field,subclassof,field
photosphere,subclassof,astronomical body part
spice food product,subclassof,spice or herb
anaerobic stream sediment,subclassof,anaerobic sediment
subalpine ecosystem,subclassof,ecosystem
organism subdivision,subclassof,multicellular anatomical structure
jaw region,subclassof,organism subdivision
"causally upstream of, negative effect",seealso,"causally_upstream_of,_negative_effect"
silicon oxoacid,subclassof,oxoacid
subtropical coniferous forest biome,in_subset,nmdc soil broad scale value set
hail,subclassof,object aggregate
litter,subclassof,environmental material
meander neck,subclassof,landform
borax leachate,subclassof,leachate
bulk soil,in_subset,nmdc soil environmental medium value set
vascular plexus,subclassof,vasculature
variability of size,subclassof,variability
chlorophyllide a,subclassof,dicarboxylic acid monoester
second-order administrative region,subclassof,administrative region
tundra ecosystem,subclassof,terrestrial ecosystem
active ecosystem management process,subclassof,anthropogenic modulatory intervention process
sawmill,subclassof,industrial building
hay compost,subclassof,compost
herb and fern layer,in_subset,nmdc plantassociated local scale value set
anatomical structure,subclassof,material anatomical entity
estuarine coastal surface layer,subclassof,aquatic estuarine layer
polar tree-line ecotone,subclassof,tree line ecotone
causally upstream of or within,subpropertyof,causal relation between processes
increased object quality,subclassof,physical object quality
riffle,subclassof,compound astronomical body part
hyaluronic acid,subclassof,mucopolysaccharide
lava flow,subclassof,body of liquid
urea,subclassof,monocarboxylic acid amide
impact event,subclassof,energy transfer process
brown,subclassof,color
mediterranean savanna biome,in_subset,nmdc plantassociated broad scale value set
anchialine pool,subclassof,pond
equine milk beverage,subclassof,mammalian milk beverage
snow layer,subclassof,cryospheric layer
snowpack,subclassof,snow mass
sleet pellet,in_subset,envocryo
composed primarily of,example of usage,'otolith organ' subclassof 'composed primarily of' some 'calcium carbonate'
nicotinamide nucleotide,subclassof,pyridine nucleotide
drift ice mass,subclassof,floating ice mass
environmental material,subclassof,material entity
marine white smoker biome,in_subset,nmdc water broad scale value set
elastic,disjointwith,inelastic
homopolycyclic compound,subclassof,polycyclic compound
sulfur atom,subclassof,chalcogen
mouth,subclassof,subdivision of digestive tract
concentration of manganese molecular entity in soil,subclassof,concentration of
proglacial,subclassof,position
transition element oxoanion,subclassof,inorganic anion
double tree line ecotone,subclassof,tree line ecotone
agricultural process,subclassof,anthropogenic environmental process
"causally upstream of or within, positive effect",seealso,"causally_upstream_of_or_within,_positive_effect"
coronary vessel,subclassof,mesoderm-derived structure
sterile water environment,in_subset,envoomics
calyptra habitat,subclassof,habitat
native plant cell,subclassof,plant cell
anaerobic sludge,subclassof,sludge
colloidal sediment,subclassof,sediment
large river delta biome,subclassof,large river biome
oceanic zone,subclassof,marine layer
thermoplastic material,subclassof,environmental material
mononuclear parent hydride,subclassof,hydrides
organic heteromonocyclic compound,subclassof,organic heterocyclic compound
plant inflorescence food product,subclassof,plant food product
greasy spoon,subclassof,restaurant
polyatomic ion,subclassof,ion
water truck,subclassof,truck
solid-phase sintering,subclassof,compaction process
arctic front,in_subset,envopolar
highly stratified estuary,subclassof,estuary
directly develops from,definition source,fbbt
phosphate ion,subclassof,phosphorus oxoanion
sea water fish egg food product,subclassof,fish egg food product
diatomite,subclassof,sedimentary rock
chorioretinal region,subclassof,multi-tissue structure
karst cave,subclassof,cave
savanna soil,in_subset,nmdc soil environmental medium value set
mammary gland fluid/secretion,subclassof,secretion of exocrine gland
root nodule,subclassof,organ
dilution basin mediterranean sea biome,subclassof,mediterranean sea biome
mixed forest biome,subclassof,mixed forest
lithia spring,subclassof,mineral spring
alpha-carotene,subclassof,carotenoid beta-end derivative
wet snow avalanche,in_subset,envopolar
impact crater,subclassof,crater
range of mounts,subclassof,field
marine downwelling,subclassof,marine current
hydrocarbon gas,subclassof,gaseous environmental material
decreased thickness,subclassof,decreased size
montane savanna biome,subclassof,savanna biome
gel ink,subclassof,manufactured product
temperate mixed broadleaf forest,subclassof,temperate mixed forest
tea beverage (liquid),subclassof,tea based beverage product
normal size,subclassof,normal object quality
oceanic zone,subclassof,hydroform
polar,subclassof,environmental condition
structure with developmental contribution from neural crest,subclassof,anatomical structure
anthrosol,subclassof,soil
burned soil,subclassof,soil
jack-bean food product,subclassof,bean food product
haze formation event,subclassof,haze formation process
game reserve,subclassof,terrestrial environmental zone
silt,subclassof,particulate environmental material
enveloping layer of ectoderm,subclassof,embryonic tissue
conductivity of water,subclassof,electrical conductivity
structure of soil,subclassof,structure
cryopeg,in_subset,envonceas
processed cheese food product,subclassof,processed food product
iucn habitat/species management area,subclassof,area protected according to iucn guidelines
aerosol environment,subclassof,environmental system determined by a material
flash flooding,subclassof,flooding
rainwater,in_subset,nmdc water environmental medium value set
firebreak,subclassof,woodland clearing
dioxygen dissolved in marine water,in_subset,envomarine
lewis base,subclassof,donor
plantation,subclassof,astronomical body part
plant anatomical entity,subclassof,material entity
mesenchyme from rhombencephalic neural crest,subclassof,mesenchyme derived from head neural crest
concentration of gravel in soil,subclassof,concentration of
super-jupiter,subclassof,astronomical body
plateau glacier,subclassof,glacier
water ice surface layer,subclassof,ice surface layer
methane ice,in_subset,envoastro
floating ice calf,subclassof,ice calf
ile europa and bassas da india ecoregion,part of,afrotropical ecoregion
desalination process,subclassof,waste recycling process
pigeon pea food product,subclassof,legume food product
mandibular process mesenchyme from head mesenchyme,subclassof,mandibular process mesenchyme
wind gust,subclassof,atmospheric wind
"aerobic respiration, using ammonia as electron donor",in_subset,envopolar
has output,inverseof,output of
holomictic lake,subclassof,lake
particulate organic nitrogen,subclassof,particulate organic matter
marine benthic biome,subclassof,marine biome
lithometeor,subclassof,meteor
frozen,subclassof,temperature
hominoidea,subclassof,catarrhini
noctuoidea,subclassof,obtectomera
heart tube,subclassof,meso-epithelium
nut oil food product,subclassof,vegetable oil food product
phosphorus oxoacids and derivatives,subclassof,phosphorus molecular entity
praseodymium atom,subclassof,lanthanoid atom
limburger cheese food product,definition source,limburger
tomato food product,subclassof,plant fruit as vegetable food product
pollution degradation,subclassof,anthropogenic modulation of pollution
erosionally enriched glacial ice,in_subset,envopolar
entire pharyngeal arch associated mesenchyme,subclassof,dense mesenchyme tissue
pond water,subclassof,fresh water
